radio,1 Sí,2 No,TOTAL
020010101,173,134,307
020010201,160,242,402
020010202,122,205,327
020010203,104,175,279
020010204,161,354,515
020010205,93,154,247
020010206,212,377,589
020010207,120,247,367
020010208,141,245,386
020010209,176,246,422
020010210,105,182,287
020010211,213,300,513
020010212,440,599,1039
020010213,160,252,412
020010214,264,325,589
020010215,280,355,635
020010216,449,518,967
020010217,251,333,584
020010218,167,229,396
020010219,227,238,465
020010301,207,240,447
020010302,197,272,469
020010303,179,336,515
020010304,123,224,347
020010305,359,581,940
020010306,351,486,837
020010307,155,174,329
020010308,259,405,664
020010309,400,489,889
020010310,277,317,594
020010311,300,291,591
020010312,204,246,450
020010313,163,136,299
020010314,186,175,361
020010315,359,315,674
020010316,284,320,604
020010317,204,250,454
020010318,269,342,611
020010319,348,482,830
020010320,132,178,310
020010321,133,106,239
020010322,242,277,519
020010323,276,410,686
020010401,776,599,1375
020010402,763,464,1227
020010403,732,406,1138
020010404,980,459,1439
020010405,625,380,1005
020010406,791,410,1201
020010407,758,526,1284
020010408,657,400,1057
020010501,395,188,583
020010502,298,214,512
020010503,494,385,879
020010504,730,379,1109
020010505,337,272,609
020010506,509,329,838
020010507,308,243,551
020010601,618,277,895
020010602,413,190,603
020010603,794,317,1111
020010604,482,272,754
020010605,193,118,311
020010606,365,177,542
020010607,287,191,478
020010608,463,229,692
020010609,642,328,970
020010610,254,137,391
020010701,410,230,640
020010702,601,159,760
020010703,146,107,253
020010704,330,202,532
020010705,280,108,388
020010706,177,116,293
020010707,374,196,570
020010708,347,223,570
020010709,181,141,322
020010710,205,167,372
020010711,121,84,205
020010712,338,152,490
020010713,1136,279,1415
020010801,190,153,343
020010802,805,478,1283
020010803,641,422,1063
020010804,350,216,566
020010805,344,229,573
020010806,678,408,1086
020010807,827,441,1268
020010808,243,180,423
020010809,331,306,637
020010810,242,185,427
020010901,154,125,279
020010902,203,167,370
020010903,276,153,429
020010904,148,94,242
020010905,185,191,376
020010906,180,161,341
020010907,279,287,566
020010908,123,121,244
020010909,381,224,605
020010910,244,113,357
020010911,306,100,406
020010912,273,95,368
020010913,243,280,523
020010914,121,118,239
020010915,143,86,229
020010916,596,353,949
020010917,174,162,336
020010918,215,157,372
020010919,48,65,113
020011001,197,102,299
020011002,277,205,482
020011003,535,389,924
020011004,233,180,413
020011005,256,223,479
020011006,280,230,510
020011007,139,159,298
020011008,148,111,259
020011009,177,147,324
020011010,334,293,627
020011011,318,263,581
020011012,326,236,562
020011013,353,293,646
020011014,101,106,207
020011101,297,199,496
020011102,215,193,408
020011103,172,160,332
020011104,360,272,632
020011105,264,239,503
020011106,259,164,423
020011107,294,206,500
020011108,440,331,771
020011109,208,219,427
020011110,323,277,600
020011111,131,123,254
020011112,468,414,882
020011113,360,272,632
020011114,359,383,742
020011201,200,124,324
020011202,110,115,225
020011203,438,262,700
020011204,213,171,384
020011205,301,266,567
020011206,235,197,432
020011207,352,380,732
020011208,175,148,323
020011209,782,498,1280
020011210,173,116,289
020011211,330,169,499
020011212,331,147,478
020011301,398,155,553
020011302,83,36,119
020011303,27,16,43
020011304,394,252,646
020011305,204,69,273
020011306,127,48,175
020011307,347,122,469
020011308,190,100,290
020011309,271,117,388
020011310,371,179,550
020011311,169,92,261
020011312,185,81,266
020011313,248,88,336
020011314,755,864,1619
020011315,0,0,0
020011401,362,222,584
020011402,509,501,1010
020011403,170,174,344
020011404,45,24,69
020011405,260,190,450
020011406,287,349,636
020011407,242,194,436
020011408,207,163,370
020011409,241,253,494
020011410,237,165,402
020011411,243,252,495
020011412,257,222,479
020011501,380,292,672
020011502,381,260,641
020011503,207,190,397
020011504,420,297,717
020011505,238,205,443
020011506,406,337,743
020011507,271,276,547
020011508,341,380,721
020011509,368,423,791
020011510,300,297,597
020011511,284,227,511
020011601,319,206,525
020011602,155,145,300
020011603,502,408,910
020011604,277,273,550
020011605,224,203,427
020011606,239,264,503
020011607,562,457,1019
020011608,261,246,507
020011609,216,145,361
020011610,323,227,550
020011611,236,201,437
020011612,166,169,335
020011701,414,402,816
020011702,302,304,606
020011703,334,341,675
020011704,300,248,548
020011705,288,244,532
020011706,390,311,701
020011707,294,271,565
020011708,299,266,565
020011709,221,185,406
020011710,286,255,541
020011711,240,202,442
020011801,457,329,786
020011802,351,333,684
020011803,346,257,603
020011804,364,324,688
020011805,372,278,650
020011806,517,570,1087
020011807,329,347,676
020011808,342,295,637
020011809,348,260,608
020011901,429,397,826
020011902,560,423,983
020011903,168,185,353
020011904,351,322,673
020011905,276,327,603
020011906,213,188,401
020011907,376,327,703
020011908,197,223,420
020011909,260,222,482
020012001,317,255,572
020012002,360,321,681
020012003,273,243,516
020012004,380,337,717
020012005,392,275,667
020012006,411,322,733
020012007,248,204,452
020012008,294,236,530
020012009,283,255,538
020012010,331,439,770
020012101,309,269,578
020012102,293,274,567
020012103,175,194,369
020012104,540,515,1055
020012105,361,309,670
020012106,286,273,559
020012107,380,351,731
020012108,301,216,517
020012109,356,306,662
020012110,375,379,754
020012201,308,219,527
020012202,400,364,764
020012203,381,371,752
020012204,201,223,424
020012205,234,198,432
020012206,344,199,543
020012207,266,247,513
020012208,263,251,514
020012209,430,395,825
020012210,644,494,1138
020012301,278,289,567
020012302,263,245,508
020012303,424,329,753
020012304,174,159,333
020012305,242,229,471
020012306,276,189,465
020012307,240,284,524
020012308,343,293,636
020012309,467,376,843
020012310,180,163,343
020012401,122,112,234
020012402,144,127,271
020012403,259,243,502
020012404,180,130,310
020012405,159,153,312
020012406,387,298,685
020012407,306,216,522
020012408,224,163,387
020012501,225,160,385
020012502,190,177,367
020012503,249,216,465
020012504,450,391,841
