CODUSU,NRO_HOGAR,PONDERA,Parentesco,Sexo,Edad,Estado_Civil,Cobertura_Medica,Sabe_leer,Lugar_Nac,NIVEL_ED,Trabajo,CAT_OCUP,CAT_INAC,Y
302468,1,1287,1,2,20,5,1,1,1,5,3,0,3,4000
302468,1,1287,10,2,20,5,1,1,1,5,3,0,3,4000
307861,1,1674,1,1,42,2,1,1,2,2,1,3,0,5800
307861,1,1674,2,2,44,2,1,1,2,6,1,3,0,5800
307861,1,1674,3,1,13,5,1,1,1,3,3,0,3,5800
307861,1,1674,3,1,8,5,1,1,1,1,4,0,3,5800
308762,1,1522,1,2,68,4,1,1,3,6,3,0,1,3200
308278,1,1320,1,1,38,2,1,1,1,6,1,1,0,10000
308278,1,1320,2,2,28,2,1,1,1,6,1,3,0,10000
311937,1,1281,1,1,63,2,1,1,1,6,1,3,0,11000
311937,1,1281,2,2,63,2,1,1,3,6,3,0,1,11000
311937,1,1281,3,1,39,2,1,1,1,5,1,3,0,11000
311937,1,1281,4,2,30,2,1,1,1,5,3,0,3,11000
311356,1,1348,1,1,46,2,1,1,1,4,1,3,0,7000
311356,1,1348,2,2,48,2,1,1,4,2,1,3,0,7000
311356,1,1348,3,1,17,5,1,1,1,3,3,0,3,7000
311356,1,1348,3,2,13,5,1,1,1,3,3,0,3,7000
156300,1,1174,1,1,49,2,1,1,1,6,1,3,0,11850
156300,1,1174,2,2,48,2,1,1,1,6,3,0,4,11850
156300,1,1174,3,1,24,5,1,1,1,6,1,3,0,11850
156300,1,1174,3,1,20,5,1,1,1,5,1,3,0,11850
255481,1,1553,1,1,72,2,12,1,1,6,3,0,1,8835
255481,1,1553,2,2,65,2,12,1,1,6,1,3,0,8835
228731,1,1553,1,2,84,4,2,1,1,6,3,0,1,2300
259897,1,1259,1,2,57,2,2,1,1,6,3,0,2,6700
259897,1,1259,3,1,26,5,2,1,1,5,1,3,0,6700
259897,1,1259,3,2,21,5,2,1,1,5,3,0,3,6700
259897,2,1259,1,2,45,3,4,1,5,6,1,3,0,0
285841,2,1311,1,2,45,5,4,1,3,2,1,3,0,1800
178057,1,1662,1,1,68,2,12,1,3,6,3,0,1,1940
